Name	Parent Skill	Mastery Level	Spell Cost	Casting Time 	Range 	Shape 	Duration	Effects	Container Breakdown	Add ons	Modifiers	Notes/Special Conditions	Flavor Line	Progressive spell conditions
Carnival of Courage	Joy	Master	26	13	Short (30 ft)	Cone (40 ft)	Combat Round + Lingering (1 step)	Allies in cone gain +10% damage and +10% resistance for 1 round, lingering 1 step.	Container: AoE (2) + Stand Alone: Buff (+10% damage = 4, +10% resistance = 4)	Add-Ons: Range Short (4), Shape Cone 40 ft (5), Duration Combat Round (5), Lingering +1 step (2)	—	* Lingering effect represents afterglow of celebration. * Cannot stack with itself.	“Where music roars, courage follows.”	Master: Cone buff. High Master+: Expand cone or add multi-round lingering.
Ballad of Shared Triumph	Joy	Master	31	16	Medium (60 ft)	—	Instantaneous	Up to 4 allies regain 1 vitality each.	Container: Target (1) + Stand Alone: Healing (3×4 = 12)	Add-Ons: Range Medium (5), Multi-Target (3+1 per target beyond first = 12), Duration Instantaneous (1)	—	* Cannot be used to remove conditions. * Healing described as warmth of triumph spreading through group.	“A chorus of victory mends more than wounds.”	Master: Multi-target heal. High Master+: Each ally may heal 2 vitality or add lingering regeneration.
Symphony of Exultation	Joy	High Master	53	27	Line of Sight	Radius (50 ft)	Combat Round + Lingering (2 steps)	Allies in area gain +15% to rolls, +2 Initiative, +2 damage, and +10% resistance for 1 round; the effect lingers 2 steps. Cancels one active fear/despair effect in the area on cast.	Container: AoE (2) + Stand Alone: Buff (+15% rolls = 4) + Stand Alone: Accelerate/Hasten (+2 Init = 5) + Stand Alone: Buff (+2 damage = 3) + Stand Alone: Buff (+10% resistance = 3) + Stand Alone: Counter/Cancel (cancel one fear/despair effect = 6)	Add-Ons: Range Line of Sight (10), Shape Radius 50 ft (3 + 2×4 = 11), Duration Combat Round (5) + Lingering 2 steps (2×2 = 4)	—	* “Cancel fear/despair” uses Counter/Cancel. * Effects don’t stack with themselves; refresh on recast.	“When joy conducts the field, doubt has no measure.”	High Master: Battlefield-wide anthem. Grand Master+: Add pulsing regeneration.
Revelry Unending	Joy	High Master	55	28	Long (120 ft)	Radius (40 ft)	Combat Round + Lingering (3 steps)	Allies in area gain +10% damage, +10% resistance, +1 Initiative, and regenerate 1 vitality at the start of their turn while in the zone; effect lingers 3 steps after leaving. The zone gently “carries” movement like a jubilant current.	Containers: AoE (2) + Temporal/Spatial (5) + Stand Alone: Buff (+10% damage = 3) + Stand Alone: Buff (+10% resistance = 3) + Stand Alone: Accelerate/Hasten (+1 Init = 4) + Stand Alone: Healing (regen 1 = 3) + Stand Alone: Spatial Bubble (8)	Add-Ons: Range Long (7), Shape Radius 40 ft (3 + 2×3 = 9), Duration Combat Round (5) + Lingering 3 steps (2×3 = 6)	—	* Regen is 1 vitality per turn while in zone; ceases when outside/after lingering. * Spatial Bubble is narrative “flow,” not forced movement.	“The festival carries every heart a step further.”	High Master: Festival aura. Grand Master+: Increase regen to 2 and add ally reposition (Pull/Push via Control).
Eternal Jubilee	Joy	Grand Master	118	59	Line of Sight	Sphere (120 ft)	2 Combat Rounds + Lingering (2 steps)	Allies gain +15% rolls, +2 Initiative, +2 damage, +10% resistance, and regenerate 2 vitality each round. Fear and despair effects are canceled. Enemies within sphere suffer –10% accuracy and –1 Initiative.	Primary Container: AoE (2). Nested Container 1: Target (1) + Stand Alone: Buff (+15% rolls = 6, +2 Init = 8, +2 dmg = 6, +10% resist = 4). Nested Container 2: Target (1) + Stand Alone: Healing (regen 2 = 5). Nested Container 3: Control (2) + Stand Alone: Counter/Cancel (6). Nested Container 4: Target (1) + Stand Alone: Debuff (–10% acc = 4, –1 Init = 4).	Add-Ons: Range Line of Sight (10), Shape Sphere 120 ft (5 base + 9 increments×3 = 32), Duration 2 Rounds (10) + Lingering 2 steps (4).	—	* Uses **nested containers** to split buffs, healing, debuffs, and cancel into clear channels. * Cannot be combined with lesser Joy buffs—they collapse into Jubilee. * May cause roleplay “aftershock” of mass celebration.	“When joy ascends beyond measure, even shadows learn to dance.”	Grand Master: May extend to Unlimited range and 3+ rounds in cosmic-scale performances.
Steal the Smile	Sorrow	Apprentice	9	5	Short (30 ft)	—	Combat Step	Target suffers –5% to all rolls for 1 step.	Container: Target (1) + Stand Alone: Debuff (–5% = 2)	Add-Ons: Range Short (4), Duration Combat Step (2)	—	* Only affects mental/emotional resilience. * Cannot stack with itself but may combine with other debuffs.	“Even joy can be stolen with the wrong note.”	Apprentice: Single-target –5%. Novice+: Upgrade to –10% or expand with AoE.
Tearful Lament	Sorrow	Apprentice	9	5	Short (30 ft)	Single Target	Combat Step	Target suffers –5% to all rolls for one step.	Container: Target (1) + Stand Alone: Debuff (–5% = 2)	Add-Ons: Range Short (4), Duration Combat Step (2)	—	• Target feels an urge to weep uncontrollably. • Does not stack with other flat roll penalties from Sorrow effects.	Every note is a reminder of what has been lost.	—
Echo of Mourning	Sorrow	Apprentice	10	5	Touch	Single Target	Combat Step	Target weeps uncontrollably; foe suffers –1 accuracy, ally recovers 1 fatigue.	Container: Target (1) + Stand Alone: Debuff (–1 = 2) + Stand Alone: Healing (1 = 3)	Add-Ons: Range Touch (2), Duration Combat Step (2)	—	• Emotional release may cause hesitation in roleplay. • Foe accuracy penalty does not stack. • Ally fatigue recovery is minor but immediate.	A single note carries the weight of a funeral dirge.	—
Steal the Smile	Sorrow	Apprentice	9	5	Short (30 ft)	—	Combat Step	Target suffers –5% to all rolls for 1 step.	Container: Target (1) + Stand Alone: Debuff (–5% = 2)	Add-Ons: Range Short (4), Duration Combat Step (2)	—	* Only affects mental/emotional resilience. * Cannot stack with itself but may combine with other debuffs.	“Even joy can be stolen with the wrong note.”	Apprentice: Single-target –5%. Novice+: Upgrade to –10% or expand with AoE.
Dirge of Weariness	Sorrow	Novice	20	10	Short (30 ft)	Cone (30 ft)	Combat Round	All foes in cone suffer –5% rolls and –1 damage for 1 round.	Container: AoE (2) [Stand Alone: Debuff (–5% = 2, –1 dmg = 2)]	Add-Ons: Range Short (4), Shape Cone 30 ft (3), Duration Combat Round (5)	—	• Emotional heaviness dulls actions. • Debuff does not stack with itself but can stack with other Sorrow effects. • Cone manifests as audible lament.	The song makes weapons feel like burdens.	—
Lamenting Shackles	Sorrow	Master	23	12	Medium (60 ft)	Single Target	Combat Round	Target is Restrained; suffers –1 Strength and –1 Initiative for duration.	Container: Target (1) + Container: Control (2) [Stand Alone: Grapple/Restrain (4), Debuff –1 Strength (2), Debuff –1 Init (4)]	Add-Ons: Range Medium (5), Duration Combat Round (5)	—	• Restrained target must contest Strength to break free. • Emotional weight manifests as ghostly chains audible as low wails. • Failure to resist may roleplay as despair.	Every link is forged from tears never shed.	—
Wail of the Forsaken	Sorrow	Master	23	12	Medium (60 ft)	Radius (20 ft)	Combat Round	Foes in radius suffer –10% rolls and –2 damage for 1 round.	Container: AoE (2) [Stand Alone: Debuff –10% (3), Debuff –2 dmg (3)]	Add-Ons: Range Medium (5), Shape Radius 20 ft (5), Duration Combat Round (5)	—	• The cry may trigger morale checks at G.O.D. discretion. • Cannot stack with itself. • May spook mounts or beasts.	The wail is the sound of a thousand funerals remembered at once.	—
Chains of Melancholy	Sorrow	Master	26	13	Medium (60 ft)	Multi-Target (3 targets)	Combat Round	Each target is Restrained and suffers –1 Initiative.	Container: Target (1) + Container: Control (2) [Stand Alone: Grapple/Restrain (4), Stand Alone: Decelerate/Slow –1 Init (4)]	Add-Ons: Range Medium (5), Duration Combat Round (5), Multi-Target 3 (5)	—	• Each round, restrained foes may contest Strength to escape. • Chains moan with palpable grief. • Restrained limits movement and portions of actions per your system rules.	Grief binds more tightly than iron.	—
Dirge of the Hollow Heart	Sorrow	Master	29	15	Long (120 ft)	Sphere (30 ft)	Combat Round + Lingering (1 step)	All creatures in sphere suffer –5% accuracy, –1 damage, and –1 Initiative for duration.	Container: AoE (2) [Stand Alone: Debuff –5% (2), Debuff –1 dmg (2), Stand Alone: Decelerate/Slow –1 Init (4)]	Add-Ons: Range Long (7), Shape Sphere 30 ft (5), Duration Combat Round (5), Lingering (2)	—	• Lingering sorrow continues to sap after the hymn fades. • May force morale checks at G.O.D. discretion. • Does not stack with itself.	The song leaves hearts hollow, as if hope itself has fled the field.	—
Elegy of Despair	Sorrow	High Master	62	31	Medium (60 ft)	Radius (60 ft)	2 Combat Rounds	All enemies in radius suffer –30% rolls, –2 damage, and –2 Initiative for 2 rounds.	Container: AoE (2) [Stand Alone: Debuff –30% (12), Debuff –2 dmg (4), Debuff –2 Init (8)]	Add-Ons: Range Medium (5), Shape Radius 60 ft (13), Duration 2 Combat Rounds (10)	—	• Forces morale checks at G.O.D. discretion. • Does not stack with itself. • Mounts and beasts may panic under the song.	The song convinces warriors their fight is already lost.	—
Funeral Chains	Sorrow	High Master	78	39	Medium (60 ft)	Sphere (60 ft)	2 Combat Rounds + Lingering (2 steps)	All foes in sphere are Restrained, suffer –2 Initiative and –10% to rolls.	Container: Control (2) [Stand Alone: Grapple/Restrain (4), Stand Alone: Debuff –2 Init (8), Stand Alone: Debuff –10% rolls (4), Stand Alone: Anchor/Lock (6)] + Container: AoE (2)	Add-Ons: Range Medium (5), Shape Sphere 60 ft (13), Duration 2 Combat Rounds (10), Lingering (4)	Modifier: Backlash Risk (–5)	• Restrained foes must contest Strength each round. • Chains shriek with despair audible across the battlefield. • Backlash risk: caster suffers –1 Initiative if concentration breaks.	Every chain forged from grief rattles louder than iron.	—
Cataclysm of Grief	Sorrow	Grand Master	104	52	Unlimited	Sphere (180 ft)	5 Combat Rounds + Lingering (3 steps)	All creatures in area suffer –50% accuracy, –5 damage, and –5 Initiative; each round there is a 50% chance to become Stunned for 1 step; additionally, oppressive sorrow imposes Immobilize and Silence (via Control) while the hymn peaks.	Container: AoE (2) [Stand Alone: Debuff –50% (11), Debuff –5 dmg (6), Stand Alone: Decelerate/Slow –5 Init (8)] + Container: Control (2) [Stand Alone: Stun/Daze (6), Stand Alone: Immobilize (6), Stand Alone: Blind/Deaf/Silence (5)]	Add-Ons: Range Unlimited (15), Shape Sphere 180 ft (20), Duration 5 Combat Rounds (25), Lingering (6)	Modifiers: Backlash Risk (–5), Environmental Dependency (–3; only functions outdoors or in spaces with strong echo)	• Morale checks each round at G.O.D. discretion; failures may flee or surrender. • On a broken focus, caster suffers –20% to rolls for 1 hour (narrative collapse). • Animals and mounts panic; fragile objects may rattle and crack. • Aftermath may mark the site as cursed ground (narrative tag).	When the Cataclysm of Grief is sung, even the heavens bow their heads in mourning.	—
Heart’s Whisper	Love	Apprentice	9	5	Touch	Single Target	Instantaneous	Heals 1 HP and removes one minor shaken/fear condition.	Container: Target (1) + Stand Alone: Healing (3) + Stand Alone: Debuff Removal (2)	Add-Ons: Range Touch (2), Duration Instantaneous (1)	None	* Only effective for minor emotional or fear-based debuffs.	Even the faintest note of love can silence fear.	Apprentice: Heal 1 HP + remove minor shaken. Novice+: Could scale to multi-target or AoE.
Bond of Trust	Love	Apprentice	10	5	Touch	Multi-Target (2 allies)	Combat Step	Two allies gain +5% to all rolls for 1 step.	Container: Target (1) + Stand Alone: Buff (+5% = 2)	Add-Ons: Range Touch (2), Multi-Target (3 for 2 allies), Duration Combat Step (2)	None	* Buff is light and fleeting, encouraging timing during a key strike.	Love finds its strength when shared between two.	Apprentice: +5% buff for 2 allies. Novice+: Scales to more allies or longer duration.
Unveiled Affection	Love	Apprentice	9	5	Touch	Single Target	Combat Step	Reveals surface-level emotions; target suffers –5% to resist social influence for 1 step.	Container: Target (1) + Stand Alone: Reveal/Detect (4) + Stand Alone: Debuff (–5% = 2)	Add-Ons: Range Touch (2), Duration Combat Step (2)	Modifier: Concentration (–2)	* Target may resist with Willpower roll at G.O.D. discretion.	Truth of the heart cannot hide when love sings.	Apprentice: Reveal emotions, –5% resist. Novice+: Wider range or multiple targets.
Harmony’s Embrace	Love	Novice	18	9	Short (30 ft)	—	Combat Step	Three allies gain +5% to all rolls and +1 Initiative for 1 step.	Container: Target (1) + Stand Alone: Buff (+5% = 2) + Stand Alone: Accelerate (+1 Init = 4)	Add-Ons: Multi-Target (3 allies = 5) + Range Short (4) + Duration Combat Step (2)	None	* Cannot stack with other initiative buffs. Time it for the key strike.	“When love binds, fear breaks.”	Apprentice: Buff 2 allies briefly. Novice: Buff 3 allies for a step. Master+: Wider groups and stronger bonuses.
Mending Serenade	Love	Novice	16	8	Medium (60 ft)	Radius (10 ft)	Instantaneous	All allies in the radius heal 2 HP.	Container: AoE (2) + Stand Alone: Healing (3 base +2 for extra point = 5)	Add-Ons: Range Medium (5) + Shape Radius 10 ft (3) + Duration Instantaneous (1)	None	* Healing is light, intended for rallying allies mid-fight.	“The melody carries the ache away.”	Apprentice: Heal 1 target lightly. Novice: Heal small group 2 HP. Master+: Larger radius and stronger healing.
Revelation of Hearts	Love	Novice	17	9	Short (30 ft)	Cone (30 ft)	Combat Step	Reveals surface emotions in the cone; affected targets suffer –5% to resist social influence for 1 step.	Container: AoE (2) + Stand Alone: Reveal/Detect (4) + Stand Alone: Debuff (–5% = 2)	Add-Ons: Range Short (4) + Shape Cone 30 ft (3) + Duration Combat Step (2)	None	* G.O.D. may allow contested Willpower to resist.	“Love unveils what fear conceals.”	Apprentice: Reveal single target emotions. Novice: Reveal group cone. Master+: Larger areas, stronger penalties.
Symphony of Devotion	Love	Master	25	13	Medium (60 ft)	Radius (20 ft)	Combat Round	Allies in radius gain +10% to rolls and +2 Initiative for 1 round.	Container: AoE (2) + Stand Alone: Buff (+10% = 3) + Stand Alone: Accelerate (+2 Init = 5)	Add-Ons: Range Medium (5) + Shape Radius 20 ft (5) + Duration Combat Round (5)	None	* Does not stack with other initiative buffs.	Time your push while the chorus holds.	Novice: Buff 3 allies briefly. Master: Buff group for full round. High Master+: Stronger bonuses, larger radii.
Healing Chorus	Love	Master	22	11	Medium (60 ft)	Radius (20 ft)	Instantaneous	Allies in radius heal 4 HP.	Container: AoE (2) + Stand Alone: Healing (3 base + 3×2 = 9)	Add-Ons: Range Medium (5) + Shape Radius 20 ft (5) + Duration Instantaneous (1)	None	* Healing is moderate; cannot exceed target’s normal max HP.	“Each verse carries a thread of life.”	Novice: Heal small group lightly. Master: Heal group 4 HP. High Master+: Stronger healing, wider shapes.
Revelation Aria	Love	Master	23	12	Medium (60 ft)	Radius (20 ft)	Combat Step + Lingering (1 step)	All creatures in radius are revealed emotionally; enemies suffer –10% to resist social influence.	Container: AoE (2) + Stand Alone: Reveal/Detect (4) + Stand Alone: Debuff (–10% = 3)	Add-Ons: Range Medium (5) + Shape Radius 20 ft (5) + Duration Combat Step (2) + Lingering 1 step (2)	None	* G.O.D. may allow Willpower to resist surface reveal.	“Truth echoes louder than silence when sung with love.”	Novice: Reveal group lightly. Master: Reveal larger group with penalties. High Master+: Full battlefield revelations.
Eternal Vow	Love	High Master	56	28	Medium (60 ft)	Radius (40 ft)	3 Combat Rounds	Allies in the zone share damage (first 2 damage per strike is spread evenly); allies gain +15% to rolls; enemies suffer –15% to social influence and cannot impose charm/fear.	Root: Target (1)   → Stand Alone: Debuff (–15% = 5)   → Nested Container: AoE (2)      - Stand Alone: Buff (+15% = 5)      - Stand Alone: Link/Bind (6)   → Nested Container: Control (2)      - Stand Alone: Counter/Cancel (6)	Add-Ons: Range Medium (5), Shape Radius 40 ft (9), Duration 3 Rounds (15)	None	* Damage-sharing capped at 2 points per strike. * Charm/fear immunity ends when spell ends.	Love made vow becomes a shield none can break.	Novice: Buffs few allies. Master: Shared vitality and moderate buffs. High Master: Group damage-link, stronger buffs/debuffs, wide radius and multi-round duration.
Aria of Sacred Union	Love	High Master	53	27	Medium (60 ft)	Cone (90 ft)	2 Rounds + Lingering (3 steps)	Allies in cone gain +3 Initiative and +3 Soak for 2 rounds; enemies reveal surface emotions and suffer –15% to resist social influence; honesty lingers for 3 steps beyond aria.	Root: Target (1)   → Stand Alone: Reveal/Detect (4)   → Stand Alone: Debuff (–15% = 5)   → Nested Container: AoE (2)      - Stand Alone: Accelerate (+3 Init = 7)      - Stand Alone: Buff (+3 Soak = 6)	Add-Ons: Range Medium (5), Shape Cone 90 ft (7), Duration 2 Rounds (10), Lingering 3 steps (6)	None	* Soak bonus applies to both physical and magical damage. * Emotional reveal limited to surface thoughts.	“Love unmasks all and binds all in one breath.”	Novice: Light reveal and buffs. Master: Wider group buffs. High Master: Expanded buffs, stronger debuffs, larger cone, multi-round with lingering honesty.
Concordance of One Heart	Love	Grand Master	124	62	Line of Sight	Radius (60 ft)	Combat Round + Lingering (5 steps)	Allies in the radius gain +20% to all rolls, +3 Initiative, +3 Soak, share 2 damage per strike across the group, and instantly heal 3 HP; enemies in the radius are emotionally revealed, suffer –15% to resist social influence, and are subjected to immobilize/anchor effects; hostile actions may be halted in brief stasis while a spatial pressure field impedes movement.	Root: Target (1) → Stand Alone: Reveal/Detect (4) → Stand Alone: Debuff (–15% = 5) → Nested Container: AoE (2)  - Stand Alone: Buff (+20% = 6)  - Stand Alone: Accelerate (+3 Init = 7)  - Stand Alone: Buff (+3 Soak = 6)  - Stand Alone: Healing (3 HP = 7)  - Stand Alone: Link/Bind (6) → Nested Container: Control (2)  - Stand Alone: Immobilize (6)  - Stand Alone: Anchor/Lock (6)  - Stand Alone: Stun/Daze (6) → Nested Container: Temporal/Spatial (5)  - Stand Alone: Temporal Stasis (6)  - Stand Alone: Spatial Bubble (8)	Add-Ons: Range Line of Sight (10), Shape Radius 60 ft (13), Duration Combat Round (5), Lingering 5 steps (10)	Modifier: Per Success Assignment (3)	• Damage-sharing limited to first 2 damage per strike per ally. • Stasis and control apply to hostile actions at G.O.D. discretion; immunity/resistance may allow contested saves. • Spatial Bubble impedes movement and projectile paths within the zone; does not create a hard wall. • Soak applies to physical and magical sources. • Healing cannot exceed normal maximum HP. • Effects end when the duration expires; lingering represents fading moral and tactical cohesion. • Anti-Blob: primary effects live in AoE; control and temporal effects are nested containers for clarity.	“One heart, many hands—no blade can cut what love has bound.”	Not progressive; iconic apex reverberation reserved for Grand Master bards.
Echo of Unease	Fear	Apprentice	9	5	Short (30 ft)	Single Target	Combat Step	Target suffers –5% penalty to all actions until the step ends.	Container: Target (1) + Stand Alone: Debuff (–5% = 2)	Range: Short (4) + Duration: Combat Step (2)	None	* Built for tight math at Apprentice. * Minor morale effect; GM may allow a brief Courage/Will save to reduce penalty to –2% on strong success.	“A whisper in the dark is louder than any shout.”	None
Shuddering Chord	Fear	Apprentice	9	5	Short (30 ft)	Single Target	Instantaneous	Target is knocked prone.	Container: Control (2) + Stand Alone: Knockdown (4) + Target (1)	Range: Short (4) + Duration: Instant (1)	Environmental Dependency (–3; effect weaker in calm/quiet settings)	* Audible performance required. * On a strong Courage/Will save, target instead suffers –5% to next action (no prone).	“A sudden note can strike harder than any blade.”	None
Lingering Paranoia	Fear	Apprentice	10	5	Melee Reach (5–10 ft)	Single Target	Combat Step	Target suffers –1 Initiative and –5% to rolls for the step.	Container: Target (1) + Stand Alone: Debuff (–5% = 2) + Stand Alone: Decelerate/Slow (–1 Init = 4)	Range: Melee Reach (3) + Duration: Combat Step (2)	Concentration (–2; bard must sustain the unsettling cadence)	* Ends immediately if concentration breaks. * Effects from multiple casts don’t stack; take the worst.	“The shadows aren’t moving… but you are.”	None
Phantom Footfalls	Fear	Novice	20	10	Short (30 ft)	Single Target	Combat Round	Target suffers –10% to all rolls for 1 round; must save or drop held object.	Containers: Target (1) + Control (2); Stand-Alones inside: Debuff (–10% = 3), Disarm (5)	Range: Short (4) + Duration: Combat Round (5)	None	* On a strong Courage save, target resists the disarm but still takes the –10% penalty. * Dropped items fall to ground normally.	“Nothing follows closer than your own fear.”	None
Crushing Dread	Fear	Novice	15	8	Medium (60 ft)	Single Target	Combat Round	Target suffers –1 Strength and –1 Initiative until round ends.	Container: Target (1); Stand-Alones inside: Debuff (–1 STR = 2), Decelerate/Slow (–1 Init = 4)	Range: Medium (5) + Duration: Combat Round (5)	Concentration (–2; bard must sustain mournful tone)	* Multiple castings don’t stack; take the worse penalty. * Ending concentration ends effect.	“The weight you feel isn’t real—yet it crushes you.”	None
Terror Pulse	Fear	Novice	17	9	Short (30 ft)	Radius (10 ft)	Instantaneous	All creatures in radius lose 1 action step; enemies suffer –5% to next roll.	Containers: AoE (2) + Control (2); Stand-Alones inside: Stun/Daze (6), Debuff (–5% = 2)	Shape: Radius 10 ft (3) + Range: Short (4) + Duration: Instant (1)	Environmental Dependency (–3; requires audible space)	* Affects allies and enemies equally unless bard declares focus before casting. * Courage/Will saves may halve penalties at G.O.D. discretion.	“One scream shatters a thousand hearts.”	None
Chains of Dread	Fear	Master	33	17	Medium (60 ft)	Radius (20 ft)	Combat Round + Lingering (1 step)	All enemies in radius must save or become Immobilized; on success, they still suffer –5% rolls until effect ends.	Containers: AoE (2) + Control (2); Stand-Alones inside: Immobilize (6), Debuff (–5% = 2), Illusion/Mask (4)	Shape: Radius 20 ft (5) + Range: Medium (5) + Duration: Combat Round (5) + Lingering (2)	None	* Chains are illusory; true freedom requires a Courage/Will save. * On save, target is not Immobilized but still suffers –5%. * Visual/sound of rattling chains is shared to unsettle allies too.	“Do you feel the chains? They are already there.”	None
Harrowing Dirge	Fear	Master	20	10	Long (120 ft)	Single Target	Combat Round	Target suffers –10% rolls, –1 Strength, and –1 Initiative until round ends.	Container: Target (1); Stand-Alones inside: Debuff (–10% = 3, –1 STR = 2), Decelerate/Slow (–1 Init = 4)	Range: Long (7) + Duration: Combat Round (5)	Concentration (–2; bard must sustain dirge)	* If concentration breaks, all penalties end immediately. * On Courage/Will save, penalties are halved (round down). * Target feels constant aura of despair while under effect.	“The song lingers after the silence.”	None
Phantasmal Host	Fear	Master	32	16	Medium (60 ft)	Sphere (20 ft)	Combat Round	Enemies in sphere suffer –10% accuracy; on failed Courage save, they also lose 1 action step from shock.	Containers: AoE (2) + Control (2); Stand-Alones inside: Debuff (–10% = 3), Stun/Daze (6), Illusion/Mask (4)	Shape: Sphere 20 ft (8) + Range: Medium (5) + Duration: Combat Round (5)	Environmental Dependency (–3; requires audible, open space)	* Illusory host vanishes instantly if bard is silenced. * Allies recognize illusions but may still feel unease. * Multiple illusions from different casters don’t stack penalties.	“Your army is here… and it is not yours.”	None
Cacophony of Nightmares	Fear	High Master	56	28	Medium (60 ft)	Sphere (30 ft)	2 Combat Rounds + Lingering (1 step)	All enemies in sphere must save or be Stunned; even on success, they suffer –15% accuracy and –2 Initiative for the duration; the area’s warped pressure further hampers movement.	Containers: AoE (2) + Control (2) + Temporal/Spatial (5); Stand-Alones inside: Stun/Daze (6), Debuff (–15% = 4), Decelerate/Slow (–2 Init = 5), Illusion/Mask (4), Spatial Bubble (8)	Shape: Sphere 30 ft (8) + Range: Medium (5) + Duration: 2 Combat Rounds (10) + Lingering (1 step = 2)	Backlash Risk (–5; if triggered, bard is Stunned for 1 step)	* Saves negate Stun but not the debuff/slow. * Spatial Bubble makes movement feel heavy and distorted. * Effects apply to enemies; allies feel unease but aren’t penalized unless G.O.D. rules otherwise. * On critical save, reduce penalties by half. * Backlash check occurs when first target resists with a strong success.	“The choir sings, and every voice is your own scream.”	None
Grasp of the Pale Host	Fear	High Master	60	30	Long (120 ft)	Radius (40 ft)	2 Combat Rounds	All creatures in radius must save or be Grappled/Restrained; on failure they also take 4 psychic damage and –10% to all rolls; warped space presses on everyone caught.	Containers: AoE (2) + Control (2) + Temporal/Spatial (5); Stand-Alones inside: Grapple/Restrain (4), Damage (4 = 9), Debuff (–10% = 3), Illusion/Mask (4), Spatial Bubble (8)	Shape: Radius 40 ft (9) + Range: Long (7) + Duration: 2 Combat Rounds (10)	Environmental Dependency (–3; requires shadow or dim light for full effect)	* Psychic damage ignores armor soaks. * On save, target avoids Grapple but still feels the bubble’s pressure (narrative hindrance). * In bright light, illusions loosen their grip (advantage on saves at G.O.D. discretion). * Multiple casts don’t stack; take the worse penalty.	“The pale arms of the forgotten rise to welcome you.”	None
Nightmare Dominion	Fear	Grand Master	93	47	Line of Sight	Sphere (100 ft)	3 Combat Rounds + Lingering (3 steps)	All enemies in sphere must save or be Immobilized; on success they still suffer –20% accuracy and –3 Initiative. Each round they take 8 psychic damage and suffer –3 CON while the domain persists. Illusions manifest as personal nightmares, warping perception and resolve.	Containers: AoE (2) + Control (2) + Temporal/Spatial (5); Stand-Alones inside: Immobilize (6), Debuff (–20% = 5), Decelerate/Slow (–3 Init = 6), Damage (8 = 17), Debuff (–3 CON = 4), Illusion/Mask (4), Spatial Bubble (8)	Shape: Sphere 100 ft (11) + Range: Line of Sight (10) + Duration: 3 Rounds (15) + Lingering (3 steps = 6)	Backlash Risk (–5; if triggered, bard takes 5 psychic damage and –1 Will for 1 step) + Environmental Dependency (–3; requires soundscape/echo)	* Saves negate Immobilize but not the ongoing penalties/damage. * –3 CON is fixed for the duration (G.O.D. may narrate it as draining across the rounds). * Allies inside feel unease; on a save they avoid penalties but may suffer –5% to one roll at G.O.D. discretion. * Spatial Bubble makes movement feel heavy and distorted.	“The world does not end in silence—it ends in fear.”	None
Spark of Wrath	Anger	Apprentice	9	5	Touch	Single Target	Combat Step	Target gains +5% accuracy and +1 damage for 1 step.	Container: Target (1) → Stand-Alone: Buff (+5% rolls = 2) + Buff (+1 damage = 2).	Add-Ons: Range Touch (2), Duration Combat Step (2).	—	Designed as a low-risk combat primer; great prelude before bigger buffs; visible as a faint red pulse in veins.	“The spark that turns restraint into action.”	
Heckle	Anger	Apprentice	8	4	Short (30 ft)	Single Target	Instantaneous	Target suffers –5% accuracy until the end of the current step.	Container: Target (1) → Stand-Alone: Debuff (–5% = 2).	Add-Ons: Range Short (4), Duration Instantaneous (1).	—	No effect on mindless or emotionless targets; narrative taunts encouraged; cannot impose Control without paying Control costs.	“A single word, sharp enough to draw blood without a blade.”	
Ember of Fury	Anger	Apprentice	10	5	Self (10 ft aura)	Radius (10 ft)	Combat Step	Allies within 10 ft gain +1 Initiative for 1 step.	Container: AoE (2) → Stand-Alone: Accelerate/Hasten (+1 Initiative = 4).	Add-Ons: Range Self (1), Shape Radius 10 ft (3), Duration Combat Step (2).	Modifier: Component Requirement (verbal/drumbeat) (–2).	Mandatory audible beat (chant, clap, or drum) to sustain the pulse; quieted or gagged casters cannot use this version.	“The ember glows, and all step quicker to the fight.”	
Stoke the Line	Anger	Novice	20	10	Short (30 ft)	Radius (20 ft)	Combat Round	Allies in area gain +5% to rolls and +1 damage for 1 round.	Containers: AoE (2) → Stand-Alone: Buff (+5% = 2) + Buff (+1 damage = 2).	Add-Ons: Range Short (4); Shape Radius 10 ft (3) + size increase (+2) = 5; Duration Combat Round (5).	—	Novice notes: (1) Affects allies only; (2) Morale bonus does not stack with identical Anger buffs; (3) The chant is audible—silence effects shut it down; (4) Overconfidence risk: G.O.D. may call for Discipline/Will checks if players roleplay recklessness.	“Heat the metal, don’t melt it.”	
Incendiary Rebuke	Anger	Novice	18	9	Medium (60 ft)	Single Target	Combat Round	Target suffers –10% to rolls and –1 Initiative for 1 round.	Container: Target (1) → Stand-Alone: Debuff (–10% = 2 +1 = 3) + Stand-Alone: Decelerate/Slow (–1 Init = 4).	Add-Ons: Range Medium (5); Duration Combat Round (5).	—	Novice notes: (1) Ineffective on mindless targets; (2) If target roleplays goaded fury, G.O.D. may grant them +1 damage on a hit that round; (3) Can break Concentration checks at G.O.D.’s discretion; (4) Does not include Control—no forced actions.	“Let pride do the rest.”	
